time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2008-10-12T07:19:57.000Z,50.194,12.464,10,3.5,ml,29,95.7,,,us,usp000gk1z,2014-11-07T01:37:27.764Z,"Czech Republic",earthquake,,,,,reviewed,grf,ldg
2008-10-12T07:08:45.200Z,50.199,12.461,10,2.7,ml,14,145.3,,,us,usp000gk1y,2014-11-07T01:37:27.761Z,"Czech Republic",earthquake,,,,,reviewed,grf,ldg
2008-10-12T06:39:48.100Z,50.203,12.458,10,2.8,ml,22,144.8,,,us,usp000gk1v,2014-11-07T01:37:27.741Z,"Czech Republic",earthquake,,,,,reviewed,grf,gfu
2008-10-11T11:13:27.800Z,50.204,12.455,10,2.9,ml,19,144.2,,,us,usp000gjys,2014-11-07T01:37:27.422Z,"Czech Republic",earthquake,,,,,reviewed,grf,ldg
2008-10-11T05:55:02.200Z,50.21,12.5,0,2.7,ml,9,234.9,,,us,usp000gjxv,2014-11-07T01:37:27.225Z,"Czech Republic",earthquake,,,,,reviewed,gfu,ldg
2008-10-11T01:34:38.400Z,50.206,12.455,10,2.8,ml,21,144.3,,,us,usp000gjxb,2014-11-07T01:37:27.091Z,"Czech Republic",earthquake,,,,,reviewed,grf,ldg
2008-10-10T22:19:05.900Z,50.21,12.5,0,2.7,ml,9,201.9,,,us,usp000gjwz,2014-11-07T01:37:27.041Z,"Czech Republic",earthquake,,,,,reviewed,gfu,ldg
2008-10-10T21:41:41.100Z,50.22,12.47,0,2.8,ml,8,193.4,,,us,usp000gjwx,2014-11-07T01:37:27.036Z,"Czech Republic",earthquake,,,,,reviewed,gfu,ldg
2008-10-10T19:14:09.700Z,50.21,12.51,0,2.7,ml,8,211.4,,,us,usp000gjwf,2014-11-07T01:37:26.988Z,"Czech Republic",earthquake,,,,,reviewed,gfu,ldg
2008-10-10T19:08:32.400Z,50.2,12.5,0,3.4,ml,22,140.7,,,us,usp000gjwd,2014-11-07T01:37:26.981Z,"Czech Republic",earthquake,,,,,reviewed,gfu,ldg
